name,x_coordinate,y_coordinate
48,70.66947407,46.31822298
37,49.0760595,87.68740395
50,23.61193283,24.28668141
20,21.41508651,98.23879245
76,13.99127104,11.37354701
41,51.71180024,64.21461989
73,68.19472922,33.23593562
64,11.82120432,28.4958266
38,72.71944943,71.95459425
23,41.59874825,31.11052958
71,59.62031035,55.5702613
79,21.03182548,31.74043312
19,39.02115502,57.79619793
62,17.29134988,98.166876
17,12.83270647,17.44638202
89,82.86842548,71.57408416
80,79.11989644,28.35471031
69,44.89908108,96.84306044
36,63.91546392,36.02765643
29,5.903865108,41.62223661
54,63.2620988,92.18821348
84,29.57303907,63.83624607
27,82.92463678,25.72458927
33,48.70825188,61.30219832
53,93.4054209,58.16553003
12,21.73244898,98.34080609
57,75.95773312,97.98127117
28,34.45640191,17.40301158
21,95.1125169,11.17569978
75,97.20335314,54.71229926
98,35.87183225,23.71956022
93,23.32202381,30.51865398
74,85.04687896,59.98132454
52,91.61288853,94.66529634
49,10.24343153,27.04788916
1,54.64380645,62.10473457
87,25.53369095,92.53450986
7,93.71875486,24.47869467
31,8.171942341,92.94393597
30,93.41707477,55.92923213
99,43.47164983,63.24751362
68,39.37385718,4.015251901
15,58.03030711,22.54241473
82,7.435829912,9.294803683
35,54.38089876,4.416002354
4,72.71144158,97.55983971
88,51.98226588,69.65835132
90,15.29210225,61.00483047
26,66.81893922,80.29235639
14,40.48953608,77.89814813
8,94.51052752,58.73316901
91,41.2171609,71.66638891
25,67.40099573,6.819570788
72,58.30053968,99.15194767
40,64.99210141,34.79777125
42,98.95639438,30.12216704
59,55.9363938,33.56498524
43,13.53626071,52.70533556
9,84.34359209,52.66760059
56,39.79515146,76.33937586
63,90.39430659,2.564589106
97,21.27067049,52.1222952
67,11.06895319,15.61925769
18,78.95350955,53.40595908
45,12.95300478,24.37648843
60,63.64653837,70.93522113
81,8.629714645,67.54254247
65,90.69143814,69.69144239
100,4.261485307,54.81592493
94,97.44578088,35.7452941
83,35.51155163,85.42257619
22,81.76936014,17.7191886
10,58.03738437,57.0258255
92,4.72351347,61.91797404
95,53.99973691,46.56005065
96,79.70413807,53.98383966
86,86.72022457,52.15083326
3,65.58640271,60.17600145
58,43.14246522,82.89218246
44,77.4732123,4.393055574
11,51.81280448,78.59376539
85,85.99877591,92.72235392
77,68.88318743,44.21890644
61,18.9179071,64.58419142
55,71.62107308,32.2815183
24,93.29227271,35.61791505
5,48.36842659,56.74191094
6,28.04794807,5.1682773
39,78.25014887,56.81203994
16,96.26282843,3.728198514
32,52.64189078,67.38200588
70,35.80908839,4.199546981
34,87.87293588,95.8346784
13,88.46953729,33.35856769
66,99.08408719,2.402255888
51,34.32404214,97.74440083
47,11.03167855,88.39573999
46,64.54071136,0.019826631
2,76.15873535,80.15181554
78,81.18142583,19.14331502
